gene	population
Cx3cr1	Microglia
P2ry12	Microglia
Tmem119	Microglia
Hexb	Microglia
Sall1	Microglia
Siglech	Microglia
Csf1r	Microglia
Aif1	Microglia
C1qa	Microglia
C1qb	Microglia
Itgam	Microglia
Gfap	Astrocytes
Aqp4	Astrocytes
Slc1a3	Astrocytes
Aldh1l1	Astrocytes
S100b	Astrocytes
Gja1	Astrocytes
Slc1a2	Astrocytes
Sox9	Astrocytes
Rbfox3	Neurons
Snap25	Neurons
Syt1	Neurons
Map2	Neurons
Tubb3	Neurons
Syn1	Neurons
Nefl	Neurons
Nefm	Neurons
Dcx	Neurons
Camk2a	Neurons
Grin1	Neurons
Mbp	Oligodendrocytes
Plp1	Oligodendrocytes
Mog	Oligodendrocytes
Cnp	Oligodendrocytes
Sox10	Oligodendrocytes
Mag	Oligodendrocytes
Mobp	Oligodendrocytes
Cldn11	Oligodendrocytes
Cldn5	Endothelial
Pecam1	Endothelial
Flt1	Endothelial
Cd34	Endothelial
Vwf	Endothelial
Emcn	Endothelial
Pdgfrb	Pericytes
Rgs5	Pericytes
Notch3	Pericytes
Kcnj8	Pericytes
Abcc9	Pericytes
Sox2	NeuralProgenitor
Pcna	NeuralProgenitor
Cd68	Phagocytosis
Mrc1	Phagocytosis
Cd163	Phagocytosis
Lgals3	Phagocytosis
Trem2	Phagocytosis
Axl	Phagocytosis
Tyrobp	Phagocytosis
Pycard	Inflammasome
Casp1	Inflammasome
Il18	Inflammasome
Gsdmd	Inflammasome
Aim2	Inflammasome
Tlr4	Inflammasome
