gene	population	category
Rbfox3	Neurons_pan	Neuron
Snap25	Neurons_pan	Neuron
Syt1	Neurons_pan	Neuron
Map2	Neurons_pan	Neuron
Tubb3	Neurons_pan	Neuron
Syn1	Neurons_pan	Neuron
Syp	Neurons_pan	Neuron
Nefl	Neurons_pan	Neuron
Nefm	Neurons_pan	Neuron
Nefh	Neurons_pan	Neuron
Dcx	Neurons_pan	Neuron
Elavl2	Neurons_pan	Neuron
Elavl4	Neurons_pan	Neuron
Uchl1	Neurons_pan	Neuron
Gap43	Neurons_pan	Neuron
Vamp2	Neurons_pan	Neuron
Stx1a	Neurons_pan	Neuron
Rab3a	Neurons_pan	Neuron
Syt2	Neurons_pan	Neuron
Snhg11	Neurons_pan	Neuron
Slc17a7	Neurons_excitatory	Neuron
Camk2a	Neurons_excitatory	Neuron
Camk2b	Neurons_excitatory	Neuron
Tbr1	Neurons_excitatory	Neuron
Satb2	Neurons_excitatory	Neuron
Neurod6	Neurons_excitatory	Neuron
Emx1	Neurons_excitatory	Neuron
Bcl11b	Neurons_excitatory	Neuron
Fezf2	Neurons_excitatory	Neuron
Neurod2	Neurons_excitatory	Neuron
Rorb	Neurons_excitatory	Neuron
Tle4	Neurons_excitatory	Neuron
Cux1	Neurons_excitatory	Neuron
Cux2	Neurons_excitatory	Neuron
Lhx2	Neurons_excitatory	Neuron
Grin2b	Neurons_excitatory	Neuron
Syngap1	Neurons_excitatory	Neuron
Nrn1	Neurons_excitatory	Neuron
Rgs4	Neurons_excitatory	Neuron
Pcp4	Neurons_excitatory	Neuron
Bcl11a	Neurons_excitatory	Neuron
Gad1	Neurons_inhibitory	Neuron
Gad2	Neurons_inhibitory	Neuron
Slc32a1	Neurons_inhibitory	Neuron
Pvalb	Neurons_inhibitory	Neuron
Sst	Neurons_inhibitory	Neuron
Vip	Neurons_inhibitory	Neuron
Lhx6	Neurons_inhibitory	Neuron
Dlx1	Neurons_inhibitory	Neuron
Dlx2	Neurons_inhibitory	Neuron
Npy	Neurons_inhibitory	Neuron
Cck	Neurons_inhibitory	Neuron
Reln	Neurons_inhibitory	Neuron
Kcnc1	Neurons_inhibitory	Neuron
Kcnc2	Neurons_inhibitory	Neuron
Gabrg2	Neurons_inhibitory	Neuron
Elfn1	Neurons_inhibitory	Neuron
Htr3a	Neurons_inhibitory	Neuron
Nr2f2	Neurons_inhibitory	Neuron
Aqp4	Astrocytes	Glia
Gja1	Astrocytes	Glia
Slc1a2	Astrocytes	Glia
Slc1a3	Astrocytes	Glia
Aldh1l1	Astrocytes	Glia
Aldoc	Astrocytes	Glia
Sox9	Astrocytes	Glia
Nfia	Astrocytes	Glia
Nfib	Astrocytes	Glia
S100b	Astrocytes	Glia
Fgfr3	Astrocytes	Glia
