gene	population
Mettl3	m6A
Mettl14	m6A
Wtap	m6A
Virma	m6A
Zc3h13	m6A
Rbm15	m6A
Rbm15b	m6A
Cbll1	m6A
Mettl16	m6A
Fto	m6A
Alkbh5	m6A
Ythdf1	m6A
Ythdf2	m6A
Ythdf3	m6A
Ythdc1	m6A
Ythdc2	m6A
Igf2bp1	m6A
Igf2bp2	m6A
Igf2bp3	m6A
Hnrnpa2b1	m6A
Hnrnpc	m6A
Prrc2a	m6A
Elavl1	m6A
Fmr1	m6A
Rbmx	m6A
Acsl4	ferroptosis
Lpcat3	ferroptosis
Alox15	ferroptosis
Ncoa4	ferroptosis
Tfrc	ferroptosis
Slc11a2	ferroptosis
Steap3	ferroptosis
Tf	ferroptosis
Cp	ferroptosis
Hfe	ferroptosis
Gls2	ferroptosis
Sat1	ferroptosis
Atg5	ferroptosis
Atg7	ferroptosis
Map1lc3a	ferroptosis
Map1lc3b	ferroptosis
Cs	ferroptosis
Fdft1	ferroptosis
Mboat1	ferroptosis
Hilpda	ferroptosis
Pebp1	ferroptosis
Ireb2	ferroptosis
Aco1	ferroptosis
Vdac2	ferroptosis
Vdac3	ferroptosis
Ptgs2	ferroptosis
Chac1	ferroptosis
Slc1a5	ferroptosis
Gpx4	ferroptosis
Slc7a11	ferroptosis
Slc3a2	ferroptosis
Fth1	ferroptosis
Ftl	ferroptosis
Nfe2l2	ferroptosis
Keap1	ferroptosis
Nqo1	ferroptosis
Txnrd1	ferroptosis
Gclc	ferroptosis
Gclm	ferroptosis
Hspb1	ferroptosis
Cisd1	ferroptosis
Cisd2	ferroptosis
Slc40a1	ferroptosis
Sirt1	ferroptosis
Atf4	ferroptosis
Nfe2l1	ferroptosis
Fancd2	ferroptosis
Prdx1	ferroptosis
Nlrp1	pyroptosis
Nlrp3	pyroptosis
Nlrc4	pyroptosis
Aim2	pyroptosis
Pycard	pyroptosis
Nek7	pyroptosis
Mefv	pyroptosis
Card8	pyroptosis
Gsdma	pyroptosis
Gsdmb	pyroptosis
Gsdmc	pyroptosis
Gsdmd	pyroptosis
Gsdme	pyroptosis
Gzma	pyroptosis
Gzmb	pyroptosis
Elane	pyroptosis
Casp1	pyroptosis
Casp3	pyroptosis
Casp4	pyroptosis
Casp5	pyroptosis
Il1b	pyroptosis
Il18	pyroptosis
Nfkb1	pyroptosis
Nfkb2	pyroptosis
Irf1	pyroptosis
Tnf	pyroptosis
Zbp1	PANoptosis
Aim2	PANoptosis
Nlrp3	PANoptosis
Pycard	PANoptosis
Tlr2	PANoptosis
Tlr4	PANoptosis
Ticam1	PANoptosis
Ripk1	PANoptosis
Ripk3	PANoptosis
Mlkl	PANoptosis
Casp1	PANoptosis
Casp6	PANoptosis
Casp8	PANoptosis
Fadd	PANoptosis
Tradd	PANoptosis
Tnfrsf1a	PANoptosis
Tnfaip3	PANoptosis
Cyld	PANoptosis
Spata2	PANoptosis
Otulin	PANoptosis
Tank	PANoptosis
Irf3	PANoptosis
Irf7	PANoptosis
Nfkb1	PANoptosis
Gsdmd	PANoptosis
Gsdme	PANoptosis
Il1b	PANoptosis
Il18	PANoptosis
Tnf	PANoptosis
Fdx1	cuproptosis_optional
Lias	cuproptosis_optional
Lipt1	cuproptosis_optional
Lipt2	cuproptosis_optional
Dld	cuproptosis_optional
Dlat	cuproptosis_optional
Pdha1	cuproptosis_optional
Pdhb	cuproptosis_optional
Mtf1	cuproptosis_optional
Gls	cuproptosis_optional
Cdkn2a	cuproptosis_optional
Slc31a1	cuproptosis_optional
Atp7a	cuproptosis_optional
Atp7b	cuproptosis_optional
Trmt6	m1A_m5C_optional
Trmt61a	m1A_m5C_optional
Alkbh3	m1A_m5C_optional
Nsun2	m1A_m5C_optional
Nsun5	m1A_m5C_optional
Nsun6	m1A_m5C_optional
Trdmt1	m1A_m5C_optional
Alyref	m1A_m5C_optional
Ybx1	m1A_m5C_optional
