gene	population
Cbll1	m6A_writer
Mettl14	m6A_writer
Mettl16	m6A_writer
Mettl3	m6A_writer
Rbm15	m6A_writer
Rbm15b	m6A_writer
Virma	m6A_writer
Wtap	m6A_writer
Zc3h13	m6A_writer
Alkbh5	m6A_eraser
Fto	m6A_eraser
Elavl1	m6A_reader
Fmr1	m6A_reader
Hnrnpa2b1	m6A_reader
Hnrnpc	m6A_reader
Igf2bp1	m6A_reader
Igf2bp2	m6A_reader
Igf2bp3	m6A_reader
Prrc2a	m6A_reader
Rbmx	m6A_reader
Ythdc1	m6A_reader
Ythdc2	m6A_reader
Ythdf1	m6A_reader
Ythdf2	m6A_reader
Ythdf3	m6A_reader
Aco1	ferroptosis_driver
Acsl4	ferroptosis_driver
Alox15	ferroptosis_driver
Atg5	ferroptosis_driver
Atg7	ferroptosis_driver
Chac1	ferroptosis_driver
Cp	ferroptosis_driver
Cs	ferroptosis_driver
Fdft1	ferroptosis_driver
Gls2	ferroptosis_driver
Hfe	ferroptosis_driver
Hilpda	ferroptosis_driver
Ireb2	ferroptosis_driver
Lpcat3	ferroptosis_driver
Map1lc3a	ferroptosis_driver
Map1lc3b	ferroptosis_driver
Mboat1	ferroptosis_driver
Ncoa4	ferroptosis_driver
Pebp1	ferroptosis_driver
Ptgs2	ferroptosis_driver
Sat1	ferroptosis_driver
Slc11a2	ferroptosis_driver
Slc1a5	ferroptosis_driver
Steap3	ferroptosis_driver
Tf	ferroptosis_driver
Tfrc	ferroptosis_driver
Vdac2	ferroptosis_driver
Vdac3	ferroptosis_driver
Atf4	ferroptosis_suppressor
Cisd1	ferroptosis_suppressor
Cisd2	ferroptosis_suppressor
Fancd2	ferroptosis_suppressor
Fth1	ferroptosis_suppressor
Ftl	ferroptosis_suppressor
Gclc	ferroptosis_suppressor
Gclm	ferroptosis_suppressor
Gpx4	ferroptosis_suppressor
Hspb1	ferroptosis_suppressor
Keap1	ferroptosis_suppressor
Nfe2l1	ferroptosis_suppressor
Nfe2l2	ferroptosis_suppressor
Nqo1	ferroptosis_suppressor
Prdx1	ferroptosis_suppressor
Sirt1	ferroptosis_suppressor
Slc3a2	ferroptosis_suppressor
Slc40a1	ferroptosis_suppressor
Slc7a11	ferroptosis_suppressor
Txnrd1	ferroptosis_suppressor
Aim2	pyroptosis_inflammasome
Card8	pyroptosis_inflammasome
Mefv	pyroptosis_inflammasome
Nek7	pyroptosis_inflammasome
Nlrc4	pyroptosis_inflammasome
Nlrp1	pyroptosis_inflammasome
Nlrp3	pyroptosis_inflammasome
Pycard	pyroptosis_inflammasome
Elane	pyroptosis_gasdermin_execution
Gsdma	pyroptosis_gasdermin_execution
Gsdmb	pyroptosis_gasdermin_execution
Gsdmc	pyroptosis_gasdermin_execution
Gsdmd	pyroptosis_gasdermin_execution
Gsdme	pyroptosis_gasdermin_execution
Gzma	pyroptosis_gasdermin_execution
Gzmb	pyroptosis_gasdermin_execution
Casp1	pyroptosis_caspase_cytokine
Casp3	pyroptosis_caspase_cytokine
Casp4	pyroptosis_caspase_cytokine
Casp5	pyroptosis_caspase_cytokine
Il18	pyroptosis_caspase_cytokine
Il1b	pyroptosis_caspase_cytokine
Irf1	pyroptosis_caspase_cytokine
Nfkb1	pyroptosis_caspase_cytokine
Nfkb2	pyroptosis_caspase_cytokine
Tnf	pyroptosis_caspase_cytokine
Aim2	PANoptosis_panoptosome_sensor
Nlrp3	PANoptosis_panoptosome_sensor
Pycard	PANoptosis_panoptosome_sensor
Ticam1	PANoptosis_panoptosome_sensor
Tlr2	PANoptosis_panoptosome_sensor
Tlr4	PANoptosis_panoptosome_sensor
Zbp1	PANoptosis_panoptosome_sensor
Casp1	PANoptosis_panoptosome_kinase
Casp6	PANoptosis_panoptosome_kinase
Casp8	PANoptosis_panoptosome_kinase
Fadd	PANoptosis_panoptosome_kinase
Mlkl	PANoptosis_panoptosome_kinase
Ripk1	PANoptosis_panoptosome_kinase
Ripk3	PANoptosis_panoptosome_kinase
Tnfrsf1a	PANoptosis_panoptosome_kinase
Tradd	PANoptosis_panoptosome_kinase
Cyld	PANoptosis_regulator_execution
Gsdmd	PANoptosis_regulator_execution
Gsdme	PANoptosis_regulator_execution
Il18	PANoptosis_regulator_execution
Il1b	PANoptosis_regulator_execution
Irf3	PANoptosis_regulator_execution
Irf7	PANoptosis_regulator_execution
Nfkb1	PANoptosis_regulator_execution
Otulin	PANoptosis_regulator_execution
Spata2	PANoptosis_regulator_execution
Tank	PANoptosis_regulator_execution
Tnf	PANoptosis_regulator_execution
Tnfaip3	PANoptosis_regulator_execution
Alkbh3	m1A_m5C_optional_m1A
Trmt6	m1A_m5C_optional_m1A
Trmt61a	m1A_m5C_optional_m1A
Alyref	m1A_m5C_optional_m5C
Nsun2	m1A_m5C_optional_m5C
Nsun5	m1A_m5C_optional_m5C
Nsun6	m1A_m5C_optional_m5C
Trdmt1	m1A_m5C_optional_m5C
Ybx1	m1A_m5C_optional_m5C
