sample	group	batch	tissue	lib_size	detected_genes	mt_frac	rpl_frac	rps_frac
E2_H_1	excision	batch1	hippocampus	23161112	26257	0.00000	0.00000	0.00000
E2_H_2	sham	batch1	hippocampus	27207658	25606	0.00000	0.00000	0.00000
E2_H_3	burn	batch1	hippocampus	6652468	22832	0.00000	0.00000	0.00000
E2_H_4	burn	batch1	hippocampus	34060642	27031	0.00000	0.00000	0.00000
E2_H_5	burn	batch1	hippocampus	6691634	22177	0.00000	0.00000	0.00000
E2_H_6	burn	batch1	hippocampus	20261191	26093	0.00000	0.00000	0.00000
E2_H_7	burn	batch1	hippocampus	20108958	26041	0.00000	0.00000	0.00000
E2_H_9	excision	batch1	hippocampus	32272944	28600	0.00000	0.00000	0.00000
E2_H_10	excision	batch1	hippocampus	7339556	22137	0.00000	0.00000	0.00000
E2_H_11	excision	batch1	hippocampus	23388082	25524	0.00000	0.00000	0.00000
E2_H_12	excision	batch1	hippocampus	26214713	26355	0.00000	0.00000	0.00000
E2_H_13	sham	batch1	hippocampus	27493220	25514	0.00000	0.00000	0.00000
E2_H_14	sham	batch1	hippocampus	31169017	26203	0.00000	0.00000	0.00000
E2_H_15	sham	batch1	hippocampus	7130376	22242	0.00000	0.00000	0.00000
E3_H_1	burn	batch2	hippocampus	47796536	28317	0.00000	0.00000	0.00000
E3_H_2	excision	batch2	hippocampus	38090384	28556	0.00000	0.00000	0.00000
E3_H_3	sham	batch2	hippocampus	43997555	29220	0.00000	0.00000	0.00000
E3_H_4	sham	batch2	hippocampus	43055645	28289	0.00000	0.00000	0.00000
E3_H_5	sham	batch2	hippocampus	35563566	27985	0.00000	0.00000	0.00000
E3_H_6	sham	batch2	hippocampus	70748401	30571	0.00000	0.00000	0.00000
E3_H_7	sham	batch2	hippocampus	37344384	28158	0.00000	0.00000	0.00000
E3_H_8	burn	batch2	hippocampus	37017600	28211	0.00000	0.00000	0.00000
E3_H_9	burn	batch2	hippocampus	38967215	27801	0.00000	0.00000	0.00000
E3_H_10	burn	batch2	hippocampus	42023648	28411	0.00000	0.00000	0.00000
E3_H_11	burn	batch2	hippocampus	38826601	28158	0.00000	0.00000	0.00000
E3_H_12	excision	batch2	hippocampus	39541738	28088	0.00000	0.00000	0.00000
E3_H_13	excision	batch2	hippocampus	34734854	27710	0.00000	0.00000	0.00000
E3_H_14	excision	batch2	hippocampus	37865593	27999	0.00000	0.00000	0.00000
E3_H_15	excision	batch2	hippocampus	30680434	27089	0.00000	0.00000	0.00000
