gene	R2_batch	R2_group	uniq_batch	uniq_group	dominant
ENSMUSG00000061808	0.0032	0.0582	0.0027	0.0576	group
ENSMUSG00000034739	0.0129	0.0482	0.0122	0.0475	group
ENSMUSG00000083365	0.8946	0.0009	0.8997	0.0059	batch
ENSMUSG00000083558	0.8943	0.0008	0.8994	0.0059	batch
ENSMUSG00000026579	0.0106	0.0466	0.0100	0.0460	group
ENSMUSG00000048108	0.0114	0.0418	0.0113	0.0416	group
ENSMUSG00000001827	0.0025	0.0720	0.0021	0.0716	group
ENSMUSG00000068323	0.0093	0.0498	0.0088	0.0493	group
ENSMUSG00000026051	0.0012	0.0695	0.0009	0.0693	group
ENSMUSG00000022949	0.0025	0.0357	0.0022	0.0354	group
ENSMUSG00000039672	0.0046	0.0628	0.0041	0.0624	group
ENSMUSG00000004655	0.0047	0.0398	0.0046	0.0396	group
ENSMUSG00000005268	0.0134	0.0339	0.0134	0.0339	group
ENSMUSG00000047230	0.0137	0.0561	0.0130	0.0554	group
ENSMUSG00002076173	0.8227	0.0190	0.8377	0.0340	batch
ENSMUSG00000068196	0.0126	0.0283	0.0120	0.0277	group
ENSMUSG00000022425	0.0022	0.0573	0.0019	0.0571	group
ENSMUSG00000021342	0.0130	0.0155	0.0117	0.0141	group
ENSMUSG00000079436	0.0096	0.0588	0.0093	0.0585	group
ENSMUSG00000056174	0.0027	0.0783	0.0029	0.0785	group
ENSMUSG00000020713	0.0202	0.0167	0.0190	0.0155	batch
ENSMUSG00000058488	0.0006	0.0388	0.0006	0.0388	group
ENSMUSG00000028125	0.0131	0.0636	0.0128	0.0633	group
ENSMUSG00002075524	0.7247	0.0450	0.7452	0.0655	batch
ENSMUSG00000016024	0.0000	0.0634	0.0000	0.0634	group
ENSMUSG00000021848	0.0005	0.0322	0.0004	0.0321	group
ENSMUSG00002075551	0.7142	0.0476	0.7350	0.0685	batch
ENSMUSG00000020681	0.0149	0.0478	0.0145	0.0474	group
ENSMUSG00000115783	0.6684	0.0342	0.6555	0.0213	batch
ENSMUSG00000082884	0.8372	0.0203	0.8517	0.0348	batch
ENSMUSG00000014158	0.0075	0.0336	0.0075	0.0337	group
ENSMUSG00000036169	0.0037	0.0504	0.0037	0.0504	group
ENSMUSG00000031786	0.0000	0.0549	0.0000	0.0549	group
ENSMUSG00000030111	0.0007	0.0341	0.0008	0.0342	group
ENSMUSG00000056071	0.0308	0.0653	0.0287	0.0631	group
ENSMUSG00000015652	0.0053	0.0685	0.0050	0.0682	group
ENSMUSG00000055235	0.0015	0.0621	0.0013	0.0620	group
ENSMUSG00000029843	0.0426	0.0387	0.0439	0.0400	batch
ENSMUSG00000115625	0.0039	0.0619	0.0031	0.0611	group
ENSMUSG00000005892	0.0874	0.1513	0.0812	0.1451	group
ENSMUSG00000037086	0.0040	0.0618	0.0034	0.0612	group
ENSMUSG00000037490	0.0045	0.0662	0.0042	0.0659	group
ENSMUSG00000064356	0.7978	0.0230	0.8137	0.0389	batch
ENSMUSG00000017723	0.0058	0.0536	0.0052	0.0530	group
ENSMUSG00000024793	0.0077	0.1593	0.0115	0.1632	group
ENSMUSG00000032246	0.0003	0.0878	0.0004	0.0879	group
ENSMUSG00000097545	0.1377	0.1650	0.1530	0.1803	group
ENSMUSG00002075501	0.5813	0.0912	0.6056	0.1155	batch
ENSMUSG00000016918	0.0108	0.0430	0.0105	0.0427	group
ENSMUSG00000021268	0.1770	0.1509	0.1933	0.1671	batch
ENSMUSG00000057969	0.0006	0.0490	0.0006	0.0490	group
ENSMUSG00000023043	0.0019	0.0493	0.0020	0.0494	group
ENSMUSG00000044349	0.1724	0.1501	0.1883	0.1660	batch
ENSMUSG00000097767	0.1487	0.1440	0.1635	0.1588	batch
ENSMUSG00000025350	0.0000	0.0496	0.0000	0.0496	group
ENSMUSG00000096768	0.0010	0.1065	0.0005	0.1060	group
ENSMUSG00000095562	0.0022	0.1055	0.0014	0.1047	group
ENSMUSG00000032484	0.0355	0.0718	0.0328	0.0691	group
ENSMUSG00000092341	0.3340	0.0954	0.3529	0.1144	batch
ENSMUSG00000032232	0.0059	0.0553	0.0058	0.0553	group
ENSMUSG00000004105	0.0175	0.0706	0.0184	0.0715	group
ENSMUSG00000038357	0.0385	0.0658	0.0360	0.0633	group
ENSMUSG00002076161	0.4655	0.0656	0.4499	0.0500	batch
ENSMUSG00000109122	0.1813	0.0817	0.1917	0.0921	batch
ENSMUSG00000032988	0.0004	0.0530	0.0003	0.0530	group
ENSMUSG00000032128	0.1158	0.0669	0.1249	0.0759	batch
ENSMUSG00000027833	0.0423	0.0396	0.0464	0.0437	batch
ENSMUSG00000097961	0.1707	0.1619	0.1874	0.1786	batch
ENSMUSG00000072572	0.0805	0.1775	0.0920	0.1889	group
ENSMUSG00000056054	0.0361	0.0645	0.0338	0.0621	group
ENSMUSG00000051985	0.2288	0.0179	0.2305	0.0196	batch
ENSMUSG00000032368	0.0038	0.0031	0.0042	0.0034	batch
ENSMUSG00000055333	0.0318	0.0809	0.0279	0.0770	group
ENSMUSG00000091318	0.3073	0.0326	0.3164	0.0417	batch
ENSMUSG00000040380	0.0233	0.0732	0.0196	0.0695	group
ENSMUSG00000118841	0.5473	0.1745	0.5181	0.1453	batch
ENSMUSG00000118866	0.5446	0.1762	0.5152	0.1468	batch
ENSMUSG00000107881	0.0034	0.0692	0.0036	0.0694	group
ENSMUSG00002075795	0.2032	0.3425	0.1779	0.3172	group
ENSMUSG00000020660	0.0319	0.0226	0.0303	0.0209	batch
ENSMUSG00000110710	0.1943	0.1496	0.2121	0.1674	batch
