family	set	n_genes	dz_865	p_865	dz_195	p_195	same_sign	z_stouffer	p_stouffer_1s	p_fisher	p_bh
WGCNA模块	mod_tan	135	-0.24604	0	-0.111401	0.1542	True	6.23106	2.31644e-10	2.40503e-12	4.86453e-09
干扰素(预定义)	IFN_signaling	12	-0.225313	0.037	-0.611339	0.0076	True	3.32769	0.000437854	0.000742561	0.00459746
m6A/PCD	m6A_writer	9	-0.108781	0.3758	-0.739008	0.0034	True	2.59587	0.00471763	0.00289051	0.0312196
WGCNA模块	mod_greenyellow	108	-0.116989	0.001	-0.00548954	0.952	True	2.5153	0.00594659	0.00222369	0.0312196
WGCNA模块	mod_darkturquoise	34	-0.139868	0.0298	0.0433495	0.783	False	1.45324	0.0730785	0.0517085	0.30693
WGCNA模块	mod_purple	194	-0.0492701	0.0672	0.00307447	0.9626	False	1.34617	0.0891237	0.0880071	0.311933
m6A/PCD	PANoptosis_panoptosome_kinase	7	-0.0313219	0.8296	-0.44281	0.1514	True	1.10697	0.134152	0.140075	0.402457
干扰素(预定义)	ISG_core	26	-0.0287779	0.687	-0.17911	0.2856	True	1.00658	0.157067	0.196937	0.412302
干扰素(预定义)	Complement_MG	25	-0.0222926	0.761	-0.0723526	0.6952	True	0.486949	0.313147	0.399824	0.71655
m6A/PCD	PANoptosis_regulator_execution	11	-0.0548727	0.6176	0.0159274	0.9492	False	0.333646	0.369323	0.457309	0.71655
干扰素(预定义)	ISG_effector	7	-0.12588	0.3688	0.186027	0.5864	False	0.317755	0.375335	0.39591	0.71655
m6A/PCD	ferroptosis_driver	26	-0.0814001	0.2624	0.15438	0.3374	False	0.211235	0.416352	0.350736	0.722019
m6A/PCD	m6A_reader	12	-0.0863288	0.4354	0.161203	0.4912	False	0.133335	0.446964	0.460915	0.722019
m6A/PCD	ferroptosis_suppressor	19	0.0909374	0.2872	-0.199441	0.2922	False	-0.106844	0.542544	0.38518	0.77408
m6A/PCD	PANoptosis_panoptosome_sensor	6	-0.0312019	0.8366	0.183852	0.5738	False	-0.215359	0.585256	0.659128	0.77408
m6A/PCD	pyroptosis_caspase_cytokine	6	0.187012	0.2178	-0.35627	0.2878	False	-0.226968	0.589776	0.391604	0.77408
干扰素(预定义)	MHC_I_AP	19	0.128805	0.1376	0.0619334	0.7392	True	-1.3364	0.90929	0.899728	1
m6A/PCD	m1A_m5C_optional_m5C	6	0.305548	0.045	0.300764	0.3628	True	-2.10771	0.982472	0.978555	1
WGCNA模块	mod_brown	456	0.123499	0	-0.00770565	0.889	False	-inf	1	0.804903	1
WGCNA模块	mod_royalblue	121	0.156572	0	0.165653	0.0414	True	-inf	1	0.999784	1
WGCNA模块	mod_turquoise	865	0.106037	0	0.0179461	0.751	True	-inf	1	0.918517	1
